Manufacturer,BulbType,Wattage,SN,StartDate
Bell,LED,9.5,smblb1,2015-01-01T04:00:00-0800
GE_765,LED,9.5,smblb2,2015-01-01T04:00:00-0800
GE_432,LED,9.5,SMBLB3,2015-01-01T04:00:00-0800
Bell,LED,9.5,smblb4,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB5,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB6,2015-01-01T04:00:00-0800
Bell,LED,9.5,smblb7,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB8,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB9,2015-01-01T04:00:00-0800
GE_345,LED,9.5,smblb10,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB11,2015-01-01T04:00:00-0800
Bell,LED,9.5,smblb12,2015-01-01T04:00:00-0800
GE_32349,LED,9.5,SMBLB13,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB14,2015-01-01T04:00:00-0800
GE_332,LED,9.5,SMBLB15,2015-01-01T04:00:00-0800
Philips,LED,9.5,smblb16,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB17,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB18,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB19,2015-01-01T04:00:00-0800
Bell,LED,9.5,smblb20,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB21,2015-01-01T04:00:00-0800
GE_344,LED,9.5,SMBLB22,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB23,2015-01-01T04:00:00-0800
GE_493,LED,9.5,SMBLB24,2015-01-01T04:00:00-0800
GE_9888,LED,9.5,SMBLB25,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB26,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB27,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB28,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB29,2015-01-01T04:00:00-0800
Philips,LED,9.5,SMBLB30,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB31,2015-01-01T04:00:00-0800
GE_334,LED,9.5,SMBLB32,2015-01-01T04:00:00-0800
Bell,LED,9.5,SMBLB33,2015-01-01T04:00:00-0800
Philips,LED,9.5,smblb34,2015-01-01T04:00:00-0800
GE_882,LED,9.5,SMBLB35,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB36,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB37,2015-01-01T04:00:00-0800
Philips,CFL,13,smblb38,2015-01-01T04:00:00-0800
GE_993,CFL,13,SMBLB39,2015-01-01T04:00:00-0800
GE_124,CFL,13,SMBLB40,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB41,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB42,2015-01-01T04:00:00-0800
GE_099,CFL,13,SMBLB43,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB44,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB45,2015-01-01T04:00:00-0800
GE_0323,CFL,13,smblb46,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB47,2015-01-01T04:00:00-0800
GE_383,CFL,13,SMBLB48,2015-01-01T04:00:00-0800
GE_993,CFL,13,SMBLB49,2015-01-01T04:00:00-0800
Philips,CFL,13,smblb50,2015-01-01T04:00:00-0800
Bell,CFL,13,smblb51,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB52,2015-01-01T04:00:00-0800
GE_93,CFL,13,SMBLB53,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB54,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB55,2015-01-01T04:00:00-0800
GE_993,CFL,13,SMBLB56,2015-01-01T04:00:00-0800
GE_032,CFL,13,SMBLB57,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB58,2015-01-01T04:00:00-0800
GE_93,CFL,13,SMBLB59,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB60,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB61,2015-01-01T04:00:00-0800
GE_003,CFL,13,SMBLB62,2015-01-01T04:00:00-0800
Bell,CFL,13,SMBLB63,2015-01-01T04:00:00-0800
GE_822,CFL,13,SMBLB64,2015-01-01T04:00:00-0800
GE_934,CFL,13,SMBLB65,2015-01-01T04:00:00-0800
GE_344,CFL,13,smblb66,2015-01-01T04:00:00-0800
Philips,CFL,13,SMBLB67,2015-01-01T04:00:00-0800
GE_544,CFL,13,SMBLB68,2015-01-01T04:00:00-0800
Philips,CFL,13,smblb69,2015-01-01T04:00:00-0800
GE_484,CFL,13,SMBLB70,2015-01-01T04:00:00-0800
GE_844,INCAN,60,SMBLB71,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB72,2015-01-01T04:00:00-0800
GE_944,INCAN,60,SMBLB73,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB74,2015-01-01T04:00:00-0800
GE_44,INCAN,60,SMBLB75,2015-01-01T04:00:00-0800
GE_1,INCAN,60,SMBLB76,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB77,2015-01-01T04:00:00-0800
Bell,INCAN,60,SMBLB78,2015-01-01T04:00:00-0800
GE_994,INCAN,60,SMBLB79,2015-01-01T04:00:00-0800
Bell,INCAN,60,SMBLB80,2015-01-01T04:00:00-0800
Bell,INCAN,60,smblb81,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB82,2015-01-01T04:00:00-0800
GE_554,INCAN,60,smblb83,2015-01-01T04:00:00-0800
GE_994,INCAN,60,SMBLB84,2015-01-01T04:00:00-0800
Bell,INCAN,60,smblb85,2015-01-01T04:00:00-0800
Bell,INCAN,60,smblb86,2015-01-01T04:00:00-0800
Bell,INCAN,60,SMBLB87,2015-01-01T04:00:00-0800
GE_944,INCAN,60,SMBLB88,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB89,2015-01-01T04:00:00-0800
Bell,INCAN,60,SMBLB90,2015-01-01T04:00:00-0800
GE_944,INCAN,60,SMBLB91,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB92,2015-01-01T04:00:00-0800
Bell,INCAN,60,SMBLB93,2015-01-01T04:00:00-0800
GE_044,INCAN,60,SMBLB94,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB95,2015-01-01T04:00:00-0800
Philips,INCAN,60,SMBLB96,2015-01-01T04:00:00-0800
GE_944,INCAN,60,SMBLB97,2015-01-01T04:00:00-0800
Bell,INCAN,60,smblb98,2015-01-01T04:00:00-0800
GE_484,INCAN,60,SMBLB99,2015-01-01T04:00:00-0800
GE_944,INCAN,60,smblb100,2015-01-01T04:00:00-0800
